country_or_territory,electricity_default_tCO2eq_per_MWh,annex_II_indirect_grid_factor,ratio_elec_to_grid,source
Albania,0.000,0.000,,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Belarus,0.383,0.325,1.18,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Bosnia and Herzegovina,1.148,0.734,1.56,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Egypt,0.442,0.387,1.14,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
European Union,0.612,,,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Georgia,0.440,0.102,4.31,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Israel,0.480,0.443,1.08,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Kosovo,0.984,0.909,1.08,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
"Moldova, Republic of",0.530,0.488,1.09,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Montenegro,0.979,0.422,2.32,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Morocco,0.907,0.712,1.27,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
North Macedonia,0.887,0.641,1.38,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Russian Federation,0.585,0.366,1.60,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Serbia,1.041,0.729,1.43,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Tunisia,0.436,0.418,1.04,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Türkiye,0.718,0.420,1.71,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
Ukraine,0.907,0.310,2.93,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
United Kingdom,0.430,0.193,2.23,Reg (EU) 2025/2621 Annex III p.2354 (grid factor: Annex II pp.2350-2353)
