link,name,event,start,end,hours,zero_hours,treated_hours,blocks,windows,blocks_with_window,weight,weight_plus,weight_minus,confirmed,source,type,message_coverage,directions,both_directions_coverage,message_ids,note,remit_frozen
GB-NL,BritNed,0,2019-05-13,2019-05-15,56,56,56,1,5,1,0.0011954874091461279,0.0006130468945935419,0.0029010699758369837,False,,,0.0,,0.0,,,unclassified
GB-NL,BritNed,1,2019-09-16,2019-09-18,55,55,55,1,5,1,0.003186778623824991,0.001526543984658396,0.007519919126067661,False,,,0.0,,0.0,,,unclassified
GB-NL,BritNed,2,2020-08-05,2020-08-06,34,34,34,1,5,1,0.00460963475814988,0.0011135572999007967,0.005848569581571893,False,,,0.0,,0.0,,,unclassified
GB-NL,BritNed,3,2020-09-21,2020-09-25,107,107,45,1,5,1,0.00418078027921468,0.0011094701608812224,0.007154124631250495,False,,,0.0,,0.0,,,unclassified
GB-NL,BritNed,4,2020-12-08,2021-01-04,644,642,640,4,11,3,0.06495428209967505,0.0221316200764315,0.10971972307362306,False,,,0.0,,0.0,,,unclassified
GB-NL,BritNed,5,2021-01-08,2021-02-08,733,723,723,5,9,2,0.04680733209235743,0.022482745517243077,0.10993008278303937,False,,,0.0,,0.0,,,unclassified
GB-NL,BritNed,6,2021-03-09,2021-06-06,2132,2080,2080,13,8,2,0.13253761046539717,0.05292775132727131,0.26409466114189495,False,,,0.0,,0.0,,,unclassified
GB-NL,BritNed,7,2022-05-16,2022-05-20,104,103,103,1,2,1,0.03188515074825129,0.1057107256142628,0.015666854780035485,True,Nord Pool UMM,planned,1.0,GB>NL;NL>GB,1.0,92c43e2e-e9e1-4723-a267-a12bc9578b53,,unclassified
GB-NL,BritNed,8,2022-09-19,2022-09-23,98,97,26,1,5,1,0.005672192426423217,0.004426114646286842,0.003310760684184081,True,Nord Pool UMM,planned,1.0,GB>NL;NL>GB,1.0,cf8df372-4752-4636-b36c-c443af697ac0,,unclassified
GB-NL,BritNed,9,2023-05-22,2023-05-24,50,50,50,1,5,1,0.011999582184247539,0.010063517156805351,0.013170336120528156,True,Nord Pool UMM,planned,1.0,GB>NL;NL>GB,1.0,7f450fd4-3754-4770-8856-ef99cf66df3e,,unclassified
